RESPID,INTERVIEW_START_W157,INTERVIEW_END_W157,DEVICE_TYPE_W157,SVYMODE_W157,LANG_W157,X_AGECAT_W157,X_EDUCCAT2_W157,EMPLSIT_W157,JOBNUM_W157,PAYTYPE_W157,JOBTYPEMOD_W157,INDUSTRYCOMBO_W157,LOOKLKLY_W157,JOBSEC_W157,FINDJOB_W157,JOBDUTYMOD_a_W157,JOBDUTYMOD_b_W157,JOBDUTYMOD_c_W157,JOBDUTYMOD_d_W157,NUMEMP_W157,JOBSAT_W157,WORKSATIS_a_W157,WORKSATIS_b_W157,WORKSATIS_c_W157,WORKSATIS_d_W157,WORKSATIS_e_W157,WORKSATIS_f_W157,WORKSATIS_g_W157,WORKSATIS_h_W157,WORKSATIS_i_W157,WORKSATIS_j_W157,WORKSATIS_k_W157,PAYRS_a_W157,PAYRS_b_W157,PAYRS_c_W157,PAYRS_d_W157,PAYRS_e_W157,JOBCAREER_W157,WRKRS_W157,JOBDO_W157,JOBRESP1_W157,JOBRESP2_a_W157,JOBRESP2_b_W157,JOBRESP2_c_W157,WFHOPTION_W157,WFHPAST_W157,WFHCURR_W157,WFHDAYOPT_W157,WFHPOSTCVDMOD_W157,WFHSTAYJOB_W157,WFHIMPACT_a_W157,WFHIMPACT_b_W157,WFHIMPACT_c_W157,WFHIMPACT_d_W157,WFHIMPACT_e_W157,WFHIMPACT_f_W157,REMOTECALLS1_W157,REMOTECALLS4_W157,TRACKKNOW_a_W157,TRACKKNOW_b_W157,TRACKKNOW_c_W157,TRACKKNOW_d_W157,TRACKKNOW_e_W157,TRACKKNOW_f_W157,TRACKVIEW_W157,COVIDMEASURE_W157,TRAINNEED_W157,TRAINWAY1_W157,TRAINWAY2_W157,TRAINWAY3_W157,TRAINWAY4_W157,TRAINWAY5_W157,GOTTRAIN_W157,TRAINRS_a_W157,TRAINRS_b_W157,TRAINRS_c_W157,TRAINRS_d_W157,TRAINRS_e_W157,TRAINRS_f_W157,AIWRKTRAIN_W157,NOTRAINRS_a_W157,NOTRAINRS_b_W157,NOTRAINRS_c_W157,NOTRAINRS_d_W157,NOTRAINRS_e_W157,SKILLIMP_a_W157,SKILLIMP_b_W157,SKILLIMP_c_W157,SKILLIMP_d_W157,SKILLIMP_e_W157,SKILLIMP_f_W157,SKILLIMP_g_W157,SKILLIMP_h_W157,SKILLIMP_i_W157,AIWRKHEARD_W157,AIWRKFEEL_a_W157,AIWRKFEEL_b_W157,AIWRKFEEL_c_W157,AIWRKFEEL_d_W157,AIWRKDONE1_W157,AIWRKDONE2_W157,AIWRKOPPO_W157,CHATWRKHRD_W157,CHATWRK_W157,CHATWRKUSE_a_W157,CHATWRKUSE_b_W157,CHATWRKUSE_c_W157,CHATWRKUSE_d_W157,CHATWRKUSE_e_W157,CHATWRKUSE_f_W157,CHATWRKUSE_g_W157,CHATWRKIMP_a_W157,CHATWRKIMP_b_W157,NOCHATUSE_a_W157,NOCHATUSE_b_W157,NOCHATUSE_c_W157,NOCHATUSE_d_W157,CHATWRKPLC_W157,WRKDEI_W157,DIVEFFORT_W157,F_METRO,F_CREGION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W157
15701394,08-Oct-2024 17:28:52,08-Oct-2024 17:42:45,1,1,9,3,1,2,1,1,2,13,5,2,4,2,2,1,2,1,2,5,5,5,3,2,2,2,2,1,2,2,2,3,3,3,1,3,,2,3,1,2,2,2,6,,,6,,,,,,,,3,,2,2,2,2,2,6,4,3,1,,,,,,2,,,,,,,,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,3,,,,,,,,,,,,,,,,1,,1,3,2,3,1,3,1,2,,1,2,2,1,6,1,2,1,2,2,,1,,2,4,1,1,4,5,2,1,4.764723573445259
15701395,08-Oct-2024 17:35:19,08-Oct-2024 17:43:39,3,1,9,2,6,1,1,1,2,5,4,1,3,2,1,1,1,4,2,3,3,2,2,3,1,2,3,4,3,4,,,,,,1,,3,1,1,2,2,1,4,4,2,3,,5,1,4,2,4,4,1,1,2,2,2,2,2,3,3,2,2,,,,,1,2,,,,,,,,1,1,1,3,2,1,2,2,3,3,2,2,3,1,1,2,2,1,1,3,3,3,1,3,1,2,2,1,2,1,1,3,3,,,,,3,1,3,1,2,2,2,1,1,6,2,,1,1,1,1,1,2,2,2,4,2,,1,,2,4,1,9,4,1,1,3,0.41918562062005493
15701396,08-Oct-2024 09:52:02,08-Oct-2024 09:58:32,1,1,9,2,6,1,1,1,3,8,3,1,2,2,1,1,1,6,2,2,3,3,2,2,2,3,2,2,3,3,,,,,,1,,3,2,2,2,2,2,4,,,2,,,,,,,,1,2,1,3,3,1,3,6,4,3,1,,,,,,1,1,2,2,3,1,1,2,,,,,,2,2,3,3,3,2,2,3,2,2,1,1,1,1,3,2,3,2,2,1,1,1,1,1,1,1,2,3,,,,,1,1,3,1,4,2,2,1,1,6,2,,1,1,1,1,1,10,,3,6,2,,2,,2,4,1,9,4,1,1,3,0.3997170227838955
15701397,09-Oct-2024 08:01:36,09-Oct-2024 08:11:19,3,1,9,3,5,1,1,3,1,4,4,2,4,1,2,1,1,1,3,5,3,3,3,2,2,3,3,2,2,1,,,,,,1,,3,2,2,2,2,1,1,1,,1,3,3,1,3,2,3,4,1,1,2,2,2,2,3,2,3,,1,,,,,,1,2,3,3,2,1,3,2,,,,,,1,1,2,2,3,1,3,2,2,2,2,2,2,1,4,4,4,2,4,1,1,2,2,2,2,2,3,3,,,,,3,3,,1,3,2,3,2,1,5,2,,1,1,1,1,3,1,2,1,3,1,,1,,1,1,1,9,2,1,2,3,0.5791692404747123
15701398,08-Oct-2024 15:36:27,08-Oct-2024 15:47:07,3,1,9,4,6,2,1,1,1,2,5,2,4,2,2,2,1,3,2,3,3,2,2,3,2,2,3,6,2,2,,,,,,3,3,3,3,1,2,8,1,4,1,,4,2,3,1,4,3,3,3,3,,2,2,2,2,2,6,3,,1,,,,,,2,,,,,,,,3,3,3,3,1,2,2,1,2,4,2,3,3,2,2,2,2,2,2,4,4,3,2,3,2,1,2,2,1,2,2,4,3,,,,,3,3,4,2,3,3,4,2,1,6,2,,1,1,1,1,3,11,,4,4,3,99,,,9,9,1,8,3,2,2,2,0.9651996720696446
15701399,09-Oct-2024 23:25:10,09-Oct-2024 23:43:55,1,1,9,2,5,1,1,2,2,5,4,1,3,2,2,1,1,6,2,2,3,3,1,2,2,3,2,3,2,2,,,,,,1,,2,3,1,1,2,1,5,2,1,2,2,4,2,4,2,3,3,1,1,1,2,2,3,1,3,3,3,1,,,,,,1,1,3,1,3,2,1,2,,,,,,1,1,2,2,3,2,2,2,1,1,1,1,1,1,3,3,1,1,4,1,1,2,2,1,2,1,2,2,,,,,1,1,3,1,1,2,2,1,1,5,2,,1,1,1,1,2,10,,3,6,3,2,,3,2,4,1,6,5,1,2,2,0.8297175238922082
15701400,09-Oct-2024 21:18:28,09-Oct-2024 21:27:57,1,1,9,3,2,1,2,2,1,3,5,1,1,1,2,1,1,1,2,2,2,2,2,2,2,3,2,3,1,2,,,,,,1,,3,2,2,2,2,2,5,,,5,,,,,,,,4,,2,2,2,3,2,2,3,3,1,,,,,,2,,,,,,,,3,3,3,3,1,1,2,2,3,1,2,2,3,2,3,,,,,,,,3,,,,,,,,,,,,,,,,1,3,2,2,3,3,1,3,2,2,,1,1,1,1,1,12,,3,6,1,,2,,1,1,1,99,2,2,2,99,1.240186983599495
15701401,10-Oct-2024 14:50:35,10-Oct-2024 15:04:08,3,1,9,2,6,1,1,1,2,11,5,2,4,1,2,2,1,6,2,1,4,3,3,2,2,2,2,3,3,4,3,2,2,1,1,2,,2,2,2,2,8,2,5,,,1,,,,,,,,2,2,3,1,1,3,1,2,3,3,1,,,,,,2,,,,,,,,2,3,3,2,1,3,2,3,2,3,2,4,4,2,1,2,2,2,2,5,4,2,1,4,2,1,2,2,2,2,2,4,4,,,,,3,2,1,1,3,2,2,1,1,6,2,,2,3,5,4,1,12,,3,6,3,1,,4,1,2,3,8,3,1,2,2,0.7506189313771182
15701402,08-Oct-2024 18:31:54,08-Oct-2024 18:40:22,1,1,9,2,6,1,1,1,1,2,4,1,2,2,2,1,2,1,3,2,2,2,2,1,3,4,3,1,3,5,,,,,,1,,3,2,2,2,2,2,5,,,5,,,,,,,,4,,2,2,2,4,5,2,3,3,1,,,,,,1,1,3,3,3,1,3,1,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,1,1,5,4,2,2,5,,,,,,,,,,1,1,1,1,2,1,3,1,3,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,2,1,,2,,1,1,3,9,2,2,2,3,1.4207936083335408
15701403,08-Oct-2024 14:34:58,08-Oct-2024 14:46:00,1,1,9,2,6,2,1,1,1,4,3,2,4,2,1,2,1,4,3,3,5,5,4,3,2,4,3,1,3,1,1,1,1,3,1,1,,3,2,1,2,1,1,2,1,,2,4,5,2,4,1,3,4,1,1,2,2,2,2,2,2,2,,2,,,,,1,2,,,,,,,,3,2,2,1,1,1,1,2,4,4,1,2,3,2,2,1,1,2,2,3,2,1,2,1,1,1,2,1,1,1,2,1,1,,,,,3,3,2,1,3,1,2,2,1,6,1,8,2,5,3,4,1,2,2,2,5,2,,1,,2,3,3,9,3,1,2,3,1.0217144691536055
15701404,08-Oct-2024 18:41:02,08-Oct-2024 18:51:01,1,1,9,3,5,1,1,2,1,2,4,2,2,2,2,2,1,6,2,2,3,3,3,2,2,2,2,6,2,1,,,,,,1,,3,3,1,1,8,1,5,2,2,1,4,3,1,4,2,3,3,2,1,1,2,2,3,2,6,3,2,1,,,,,,2,,,,,,,,3,3,3,2,2,2,2,2,3,4,1,3,3,2,2,1,1,2,2,5,2,2,2,5,,,,,,,,,,3,1,1,1,3,1,3,1,4,2,3,2,1,5,2,,1,1,1,1,1,3,2,4,2,2,,2,,2,3,1,9,3,1,1,3,0.4036648674880266
15701405,10-Oct-2024 13:05:26,10-Oct-2024 13:12:38,1,1,9,3,6,2,1,1,2,2,5,1,4,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,1,,2,2,2,2,2,2,5,,,6,,,,,,,,3,,2,3,1,1,1,6,3,3,1,,,,,,1,2,3,3,2,1,3,1,,,,,,2,2,2,2,3,2,3,3,2,2,2,2,1,2,4,3,3,2,5,,,,,,,,,,3,1,2,3,3,1,4,1,3,2,3,1,1,6,2,,1,1,1,1,1,1,2,1,5,2,,1,,2,4,1,9,4,2,1,3,0.821850307100131
15701406,08-Oct-2024 21:22:00,08-Oct-2024 21:31:13,1,1,9,2,5,1,2,4,4,3,5,2,2,1,1,2,1,1,1,,,,,,,,,,,,,,,,,1,,3,3,6,1,2,2,3,,,3,,,,,,,,2,1,,,,,,,,,1,,,,,,2,,,,,,,,3,3,3,3,1,1,2,3,3,3,3,4,4,2,2,2,2,1,2,5,4,3,1,4,2,2,2,2,2,2,2,3,4,,,,,,2,,2,2,3,2,1,1,5,2,,1,1,1,1,1,1,1,1,4,4,1,,3,1,1,1,9,2,2,2,3,1.045062111131689
15701407,08-Oct-2024 17:46:25,08-Oct-2024 17:55:34,1,1,9,3,6,1,1,2,3,8,5,1,5,2,1,1,1,5,3,1,3,2,4,3,3,3,4,1,3,3,,,,,,1,,3,3,2,2,2,2,5,,,5,,,,,,,,2,1,2,2,1,3,2,2,3,3,1,,,,,,2,,,,,,,,1,1,3,1,1,1,1,1,5,5,1,4,3,1,2,2,2,2,2,3,3,2,2,5,,,,,,,,,,2,1,3,3,3,2,1,1,3,2,3,1,1,6,2,,1,1,1,1,1,2,2,2,5,1,,1,,1,1,1,9,2,1,2,2,0.5512424547814002
15701408,09-Oct-2024 01:41:02,09-Oct-2024 01:51:29,1,1,9,1,5,1,1,1,3,5,5,2,3,2,1,1,1,6,2,3,4,4,3,2,2,4,4,2,4,5,1,1,1,3,1,1,,3,4,2,2,2,2,5,,,3,,,,,,,,3,,1,2,2,3,2,3,3,3,2,,,,1,,1,3,3,3,1,1,3,1,,,,,,1,1,1,1,2,3,1,1,1,2,1,2,1,1,3,3,2,1,2,1,2,2,2,2,1,2,2,4,,,,,1,1,3,1,3,2,1,2,1,5,2,,1,1,1,1,1,12,,3,6,3,2,,3,2,4,1,7,4,2,2,2,1.639808538003068
15701409,10-Oct-2024 18:39:35,10-Oct-2024 19:10:25,1,1,9,2,5,1,1,2,3,5,2,4,4,2,2,1,2,1,2,3,4,5,3,1,1,2,1,1,3,4,2,1,1,3,1,2,,3,2,1,1,2,2,5,,,1,,,,,,,,4,,3,3,3,1,1,3,3,3,2,,,,1,,2,,,,,,,,1,1,3,2,3,2,2,3,4,5,2,3,3,2,3,,,,,,,,2,5,,,,,,,,,,3,3,1,3,3,1,3,1,2,2,2,2,1,5,2,,3,2,2,4,1,1,1,1,2,3,2,,3,2,3,3,5,3,1,2,2,0.8443947627171551
15701410,10-Oct-2024 17:53:32,10-Oct-2024 18:18:44,3,1,9,1,4,2,2,2,1,1,1,5,5,1,1,1,2,6,3,5,3,3,3,3,3,4,3,5,5,3,,,,,,2,,3,5,2,2,3,2,5,,,1,,,,,,,,1,1,1,1,3,1,1,3,3,2,2,,,1,,,1,1,2,1,1,2,1,2,,,,,,1,1,1,2,2,1,2,1,1,2,2,2,1,1,4,3,2,3,,,,,,,,,,,,,,,,1,2,1,2,99,1,2,2,4,2,,1,1,1,1,1,11,,4,6,4,2,,3,2,3,2,6,2,1,2,2,2.519178985791671
15701411,10-Oct-2024 13:41:03,10-Oct-2024 13:58:18,1,1,9,2,6,1,1,2,3,8,4,1,5,2,2,1,2,6,4,1,1,4,3,1,2,2,3,3,4,2,,,,,,1,,3,2,1,1,3,1,5,3,1,3,4,3,1,4,3,2,4,2,2,1,1,1,1,1,3,3,3,1,,,,,,1,1,2,3,1,1,3,2,,,,,,1,2,3,4,3,2,2,3,2,2,2,1,1,1,5,4,3,2,5,,,,,,,,,,3,3,1,1,2,1,3,1,2,2,2,1,1,6,2,,99,1,1,99,1,3,1,4,2,3,2,,4,2,3,2,5,3,2,1,1,0.6533230247521378
15701412,10-Oct-2024 19:26:57,10-Oct-2024 19:34:27,1,1,9,2,5,1,1,1,1,11,2,2,4,1,2,2,1,6,4,4,4,5,3,4,4,5,3,2,3,2,1,1,1,3,1,2,,3,4,3,3,8,1,4,3,2,3,4,3,1,3,1,3,3,1,1,2,3,2,3,3,2,1,2,2,,,,1,,2,,,,,,,,1,3,1,3,2,3,2,3,4,3,2,4,3,1,1,2,2,2,2,5,3,2,1,3,2,2,2,2,1,2,2,3,4,,,,,1,3,2,1,3,2,2,1,1,5,2,,1,1,1,1,1,12,,3,5,4,2,,5,2,4,1,9,5,1,2,3,0.672586990409705
15701413,09-Oct-2024 00:29:01,09-Oct-2024 00:51:14,1,1,9,1,5,2,1,4,1,5,1,4,4,1,1,1,2,3,3,4,3,2,3,2,2,3,3,4,2,4,,,,,,2,,2,3,1,1,3,2,6,,,3,,,,,,,,4,,3,1,3,4,1,3,3,3,1,,,,,,1,3,3,3,1,1,1,2,,,,,,2,3,3,5,3,4,5,3,3,2,1,2,2,2,3,3,2,3,,,,,,,,,,,,,,,,1,2,1,4,1,1,2,1,5,2,,1,4,4,1,6,2,2,2,3,2,,2,,2,3,3,9,3,3,1,2,4.289042685081263
15701414,09-Oct-2024 14:24:19,09-Oct-2024 14:35:48,1,1,9,1,5,1,1,1,1,9,2,1,4,2,2,1,1,4,3,2,4,2,2,2,2,2,3,6,2,1,3,2,2,3,3,2,,2,2,1,1,3,1,6,1,,1,5,1,1,3,1,1,1,1,1,2,2,2,2,1,2,3,,2,,,,4,,1,1,2,2,1,1,2,2,,,,,,1,1,4,4,4,2,3,3,1,1,1,1,2,2,4,3,1,1,1,1,1,2,1,1,1,1,2,2,,,,,3,2,3,1,2,2,1,1,1,5,2,,1,1,1,1,6,1,1,1,1,1,,1,,1,1,1,9,2,1,1,2,0.9931584558315842
15701415,11-Oct-2024 09:34:46,11-Oct-2024 09:43:23,1,1,9,3,3,1,1,1,1,13,2,5,4,2,1,1,1,6,4,4,3,3,5,3,5,5,3,6,2,1,,,,,,1,,3,3,2,2,2,1,3,1,,1,5,2,3,3,1,3,3,1,1,2,2,1,2,1,2,3,,2,,3,,,,1,1,2,3,3,3,2,2,,,,,,1,1,2,2,2,1,3,2,1,1,2,2,2,2,5,4,3,1,4,2,1,2,1,1,2,2,2,2,,,,,3,1,3,1,3,2,3,2,2,3,2,,1,1,1,1,2,3,2,4,5,2,,2,,2,4,1,9,4,1,1,2,0.3381043906658905
15701416,08-Oct-2024 17:18:46,08-Oct-2024 17:34:19,1,1,9,3,6,1,1,1,1,6,4,3,4,2,2,2,1,6,3,3,4,3,3,2,2,2,3,4,3,5,3,1,2,3,1,1,,3,3,2,2,8,1,1,3,1,1,4,3,5,3,1,3,3,1,1,1,1,2,1,1,3,1,2,1,,,,,,1,1,1,1,3,3,3,2,,,,,,1,1,2,2,2,1,2,3,1,2,2,2,1,2,5,3,4,2,3,2,2,2,2,1,2,2,4,3,,,,,1,2,1,1,2,2,3,2,1,6,2,,1,1,1,1,1,1,1,1,2,1,,99,,1,1,1,99,2,2,1,99,0.5683259162611464
15701417,08-Oct-2024 14:34:17,08-Oct-2024 15:11:59,3,1,9,2,6,1,1,1,2,5,5,1,4,2,1,2,2,6,1,2,2,2,1,2,1,2,2,3,2,3,,,,,,1,,3,2,1,2,8,1,3,3,2,3,2,3,1,4,2,3,4,1,2,2,1,2,2,2,2,3,3,1,,,,,,2,,,,,,,,3,3,3,3,1,1,1,2,3,3,2,3,1,2,1,1,1,2,1,4,3,3,1,4,2,2,2,2,1,2,2,2,2,,,,,1,3,1,1,3,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,4,2,,2,,2,3,1,9,3,2,1,3,0.5938934814282317
15701418,08-Oct-2024 16:38:57,08-Oct-2024 16:47:20,1,1,9,2,3,1,2,1,4,2,5,1,4,1,1,1,2,1,1,,,,,,,,,,,,,,,,,3,,3,1,1,1,1,1,6,2,,2,,,,,,,,4,,,,,,,,,,1,,,,,,2,,,,,,,,3,3,3,3,1,1,2,2,3,2,2,4,3,1,2,1,1,1,2,5,4,4,2,5,,,,,,,,,,3,3,1,,,1,,1,3,2,2,2,2,3,2,,1,1,1,1,1,12,,3,5,2,,1,,2,4,1,3,4,2,2,1,1.195521215932594
15701419,08-Oct-2024 17:06:49,08-Oct-2024 17:17:20,1,1,9,2,5,1,1,1,5,11,5,2,3,2,2,1,1,6,2,2,2,4,3,3,2,3,2,2,3,1,,,,,,1,,2,2,2,2,2,1,3,2,1,1,1,3,1,3,2,2,3,1,1,1,1,1,1,1,3,3,1,1,,,,,,2,,,,,,,,1,2,3,3,2,2,2,2,4,3,1,2,3,2,2,1,1,1,1,4,3,2,2,5,,,,,,,,,,2,2,3,3,3,1,3,1,2,1,2,1,1,5,2,,1,1,1,1,1,12,,3,6,2,,2,,2,3,1,9,3,2,1,3,0.49330959670520047
15701420,10-Oct-2024 19:01:24,10-Oct-2024 19:02:55,1,1,9,2,6,1,1,1,2,5,3,3,4,2,2,2,1,6,3,3,2,3,4,5,3,3,3,3,2,2,,,,,,1,,2,3,2,3,8,1,5,3,1,3,1,3,1,5,2,3,4,1,2,3,3,3,3,1,3,4,2,2,,,,,4,2,,,,,,,,3,1,1,3,3,1,3,3,2,2,1,3,2,2,1,2,2,1,1,3,3,2,1,2,1,2,2,1,2,2,1,3,2,,,,,1,1,3,1,4,2,2,2,1,6,2,,1,1,1,1,1,12,,3,5,2,,2,,2,4,1,9,4,1,1,2,0.3923996114221697
15701421,12-Oct-2024 15:05:59,12-Oct-2024 15:31:08,1,1,9,3,5,1,1,1,1,9,4,1,4,2,2,1,1,6,2,2,2,3,3,3,2,2,2,6,2,1,,,,,,1,,3,2,2,2,1,1,3,1,,1,4,4,1,4,1,3,5,2,1,1,1,1,1,1,3,4,,1,,,,,,2,,,,,,,,2,2,2,2,3,2,1,2,2,3,2,2,2,2,1,1,1,1,1,4,3,1,1,4,2,2,2,1,1,2,1,2,2,,,,,1,1,4,1,2,3,3,2,1,5,2,,1,1,1,1,3,12,,3,6,2,,1,,2,4,1,7,5,2,2,3,0.500367658280283
15701422,10-Oct-2024 14:21:39,10-Oct-2024 14:27:00,3,1,9,3,5,1,1,1,4,9,5,1,2,2,1,1,1,99,1,,,,,,,,,,,,,,,,,1,,3,2,6,1,1,1,2,2,,2,,,,,,,,2,1,,,,,,,,,1,,,,,,2,,,,,,,,3,3,3,3,3,1,1,1,2,2,1,1,1,1,1,1,1,2,2,4,3,1,1,4,2,2,2,1,1,2,1,3,3,,,,,,3,,1,2,2,3,1,1,5,2,,1,1,1,1,5,99,,99,99,3,2,,3,2,3,1,99,3,2,1,99,0.5392667551117309
15701423,08-Oct-2024 16:06:19,08-Oct-2024 16:22:59,3,1,9,3,5,2,1,2,2,2,5,1,3,2,2,1,1,6,3,2,4,4,4,2,2,3,3,3,3,5,2,2,1,2,1,3,,3,3,2,2,2,2,5,,,3,,,,,,,,3,,1,3,1,3,1,3,3,1,1,,,,,,2,,,,,,,,3,3,3,2,2,1,2,3,3,4,2,2,3,1,2,1,1,2,2,6,,3,2,5,,,,,,,,,,3,3,3,3,2,1,3,1,1,2,3,2,1,5,2,,4,3,5,4,3,12,,3,5,3,1,,3,1,1,1,9,2,1,1,3,0.5832185533696124
15701424,08-Oct-2024 14:37:00,08-Oct-2024 14:47:03,1,1,9,2,4,1,1,2,1,11,5,1,2,1,2,1,2,4,2,3,4,3,3,2,2,2,2,3,1,1,2,2,1,2,1,1,,2,3,2,2,2,2,5,,,3,,,,,,,,3,,2,2,2,2,3,3,3,3,2,,,3,,,2,,,,,,,,3,2,3,2,3,1,2,3,2,1,2,2,2,1,2,2,2,2,2,4,4,3,2,5,,,,,,,,,,3,3,2,3,3,2,3,1,3,2,2,1,2,4,2,,4,3,5,4,1,2,2,2,4,1,,1,,1,1,1,6,2,1,2,2,0.9334895214926185
15701425,11-Oct-2024 11:10:05,11-Oct-2024 11:19:56,3,1,9,3,2,1,1,2,1,3,5,2,3,2,2,2,2,6,3,3,3,3,3,3,3,3,3,2,3,3,,,,,,1,,3,1,2,2,2,2,5,,,5,,,,,,,,4,,1,1,1,1,1,1,3,3,2,,1,,,,2,,,,,,,,2,3,3,3,1,2,2,2,2,2,2,3,2,2,2,1,1,1,2,5,5,3,2,5,,,,,,,,,,1,1,1,3,3,1,3,1,1,2,3,1,3,2,2,,1,1,1,1,2,2,2,2,6,2,,1,,2,4,1,5,4,2,2,2,1.9520971761909194
15701426,09-Oct-2024 10:30:28,09-Oct-2024 10:48:49,1,1,9,2,6,1,1,1,2,2,1,1,3,2,2,2,2,6,1,2,3,3,2,2,1,2,2,6,1,1,,,,,,1,,2,1,1,1,8,1,3,1,,1,1,3,1,4,3,3,4,1,1,2,3,1,3,3,2,3,,1,,,,,,1,1,3,3,1,1,2,1,,,,,,2,1,2,3,3,1,3,1,2,1,2,2,1,2,4,3,3,1,4,2,2,2,2,2,2,2,4,4,,,,,2,1,2,1,3,2,2,2,1,6,2,,1,3,5,1,2,9,,3,4,1,,2,,1,2,1,9,3,1,2,3,0.4249966310574189
15701427,08-Oct-2024 18:01:15,08-Oct-2024 18:11:14,1,1,9,2,6,1,1,4,5,2,5,5,5,2,2,1,1,3,3,5,3,5,4,3,3,4,3,5,3,3,,,,,,3,,3,2,3,3,3,1,5,2,2,2,5,2,1,3,2,1,4,1,1,2,2,1,4,2,2,3,1,1,,,,,,1,1,3,2,1,1,3,2,,,,,,1,1,1,1,3,1,2,3,1,1,2,2,1,1,5,3,2,2,5,,,,,,,,,,3,1,2,3,2,1,2,1,1,2,2,2,1,6,2,,2,3,5,4,1,6,,4,4,3,2,,4,2,4,3,3,4,1,2,1,1.0541754866477482
15701428,08-Oct-2024 14:44:13,08-Oct-2024 14:50:22,1,1,9,3,5,1,1,1,1,7,3,2,4,2,1,2,1,6,3,3,2,3,3,2,2,3,3,2,2,2,,,,,,1,,3,1,1,2,8,1,3,4,1,4,,1,1,1,1,3,1,1,2,2,2,2,2,2,2,3,3,1,,,,,,1,1,3,3,3,1,2,1,,,,,,1,1,2,4,2,1,2,2,1,1,1,2,2,2,6,,4,2,5,,,,,,,,,,3,2,2,3,3,3,3,1,2,3,3,1,1,5,2,,1,1,1,1,1,10,,3,5,1,,2,,1,1,1,9,2,1,2,3,0.5852292136923711
15701429,12-Oct-2024 14:00:35,12-Oct-2024 14:13:40,3,1,9,2,5,1,1,1,3,8,5,1,3,1,2,2,2,6,2,2,3,3,2,2,3,3,2,1,2,1,,,,,,1,,2,2,2,2,8,2,6,,,1,,,,,,,,4,,1,1,2,2,2,2,3,3,1,,,,,,2,,,,,,,,3,3,3,3,2,3,2,1,2,3,2,2,2,2,2,1,1,1,2,5,4,1,2,5,,,,,,,,,,3,3,1,3,3,1,3,1,1,3,2,2,1,5,1,8,1,4,3,1,1,9,,3,5,3,2,,4,2,3,3,8,3,1,2,2,0.2723454447431941
15701430,10-Oct-2024 15:35:02,10-Oct-2024 15:43:48,1,1,9,3,3,1,1,1,1,11,4,2,4,1,1,2,2,4,2,3,2,3,2,2,2,2,2,3,3,3,,,,,,1,,3,2,1,1,1,2,5,,,5,,,,,,,,4,,1,1,3,3,3,3,3,3,2,,5,,,,2,,,,,,,,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,,,,,,,,3,,,,,,,,,,,,,,,,3,3,1,1,2,3,1,2,3,2,,1,1,1,1,3,2,1,2,5,1,,1,,1,1,1,9,2,2,2,3,0.8180818351777208
15701431,09-Oct-2024 07:04:20,09-Oct-2024 07:10:00,1,1,9,2,2,1,1,2,1,4,5,1,2,1,1,1,1,1,1,1,3,2,2,2,1,1,2,2,1,1,,,,,,1,,3,1,1,1,1,2,5,,,5,,,,,,,,3,,2,2,1,2,1,2,3,3,2,,4,,,,2,,,,,,,,3,3,3,3,3,1,1,1,1,1,1,1,5,1,2,2,2,2,2,6,,4,3,,,,,,,,,,,,,,,,3,4,2,3,3,2,2,3,2,2,,1,1,1,1,2,12,,3,4,4,1,,2,1,2,1,4,5,1,2,2,0.851324202957038
15701432,08-Oct-2024 18:25:30,08-Oct-2024 18:38:07,1,1,9,2,3,2,2,2,1,1,5,1,2,1,2,1,2,1,1,3,2,2,2,1,1,2,2,1,2,2,,,,,,1,,3,4,1,1,2,2,5,,,3,,,,,,,,4,,1,3,3,4,3,6,3,3,1,,,,,,1,2,3,3,3,2,3,2,,,,,,1,2,3,3,3,2,3,3,2,2,2,2,1,2,4,3,2,2,5,,,,,,,,,,3,2,1,3,3,1,3,1,4,2,2,1,2,3,2,,1,1,1,1,1,9,,3,6,3,2,,4,2,4,1,9,5,2,1,2,0.8101306937651631
